,Date,S&P500,MEDCPIM158SFRBCLE,EFFR,FinBERT_Score
85,2022-01-01,4796.56,6.4077835826954495,0.08,-0.509144
86,2022-02-01,4546.54,6.3180865281748,0.08,-0.509144
87,2022-03-01,4306.26,5.596234775545581,0.2,-0.509144
88,2022-04-01,4545.86,6.633146057404368,0.33,-0.509144
89,2022-05-01,4155.38,7.665622056006231,0.76,-0.509144
90,2022-06-01,4101.23,8.19157174501135,1.19,-0.509144
91,2022-07-01,3825.33,7.0292358095447804,1.65,-0.509144
92,2022-08-01,4118.63,7.77400813178937,2.33,-0.509144
93,2022-09-01,3966.85,7.457016104492701,2.58,-0.509144
94,2022-10-01,3678.43,7.54280806445971,3.08,-0.509144
95,2022-11-01,3856.1,6.1531667728038,3.76,-0.509144
96,2022-12-01,4076.57,5.52378593267728,4.09,-0.509144
97,2023-01-01,3824.14,6.72567380367208,4.33,-0.479101
98,2023-02-01,4119.21,7.15555662428864,4.57,-0.479101
99,2023-03-01,3951.39,4.69973744794392,4.65,-0.479101
100,2023-04-01,4124.51,5.67125424130643,4.83,-0.479101
101,2023-05-01,4167.87,4.80799823146805,5.05,-0.479101
102,2023-06-01,4221.02,4.699110524830471,5.08,-0.479101
103,2023-07-01,4455.59,3.2286079381506494,5.12,-0.479101
104,2023-08-01,4576.73,4.20796905702734,5.33,-0.479101
105,2023-09-01,4515.77,4.83896756560516,5.33,-0.479101
106,2023-10-01,4288.39,4.1657629534600495,5.33,-0.479101
107,2023-11-01,4237.86,5.5350638412277515,5.33,-0.479101
108,2023-12-01,4594.63,4.1879308431933095,5.33,-0.479101
